O3,PM2.5,Temp
11.57,5.85,-6.96
10.87,5.78,-7
10.03,5.82,-7
8.97,5.9,-7
7.96,5.92,-7
7.77,5.96,-7
7.59,5.98,-7
8.04,5.88,-7.02
8.78,5.82,-7.1
8.49,5.81,-7.06
7.89,5.82,-7
7.74,5.86,-7
7.84,5.9,-7
7.52,6,-7
7.25,6.04,-7
7.05,6.09,-7.03
7.4,6.22,-7.1
8.04,6.38,-7.1
7.75,6.43,-7.04
8.2,6.36,-7
8.15,6.27,-7
8.29,6.27,-7
8.44,6.3,-7
8.77,6.28,-7
8.7,6.15,-7
9.04,6.05,-7
9.32,6.04,-7.05
10,6.13,-7.1
10.4,6.18,-7.16
10.85,6.13,-7.3
10.89,5.99,-7.29
11.12,5.98,-7.22
11.19,5.96,-7.27
11.23,5.98,-7.2
10.92,6.05,-7.3
10.85,6.09,-7.3
10.86,5.99,-7.36
11.33,5.03,-7.8
12.13,5.17,-7.87
13.24,5.39,-7.9
13.46,5.4,-7.9
14.1,5.37,-7.9
15.68,5.38,-7.93
16.67,5.3,-8
16.33,5.07,-8
16.66,5.02,-8.04
17.49,4.93,-8.14
18.14,4.82,-8.24
18.21,4.74,-8.28
18.58,4.72,-8.2
18.31,4.67,-8.2
17.6,4.63,-8.2
17.12,4.61,-8.23
17.51,4.65,-8.2
18.14,4.66,-8.26
18,4.65,-8.2
16.85,4.59,-8.2
16.6,4.5,-8.2
16.81,4.38,-8.16
16.26,4.32,-8.1
15.06,4.27,-8.1
14.67,4.24,-8.1
13.65,4.28,-8
13.63,4.39,-8
12.34,4.5,-8
8.68,4.81,-8
7.06,5.26,-8
7.66,5.52,-8
7.4,5.49,-8
7.11,5.42,-8
6.96,5.55,-8
6.88,5.69,-8
6.98,5.84,-8
6.74,6.07,-8
6.4,6.18,-7.99
6.23,6.35,-7.9
5.71,6.54,-7.9
5.18,6.73,-7.9
5.9,6.89,-7.9
6.24,6.9,-7.9
5.51,6.94,-7.83
5.6,7.07,-7.8
5.66,7.34,-7.8
6.69,7.51,-7.89
7.74,7.4,-7.9
9.12,7.1,-7.9
9.77,6.89,-7.9
12.62,6.72,-7.9
14.05,6.35,-7.9
16.51,5.96,-7.9
17.73,5.78,-7.9
18.13,5.74,-7.9
19.01,5.65,-7.9
19.65,5.46,-7.9
20.04,5.38,-7.9
19.42,5.33,-7.9
17.91,5.56,-7.9
16.95,6.12,-7.9
15.96,6.55,-7.93
15.29,6.72,-8.03
14.78,6.77,-8.1
13.79,6.64,-8.1
13.68,6.43,-8.1
15.76,6.08,-8.2
16.02,5.64,-8.2
16.62,5.54,-8.2
16.85,5.52,-8.26
17.13,5.23,-8.3
16.19,4.9,-8.38
16.31,4.77,-8.43
15.29,4.96,-8.5
14.73,5.57,-8.5
15.2,6.27,-8.6
15.42,7.15,-8.61
15.53,7.43,-8.72
16.76,6.41,-8.81
17.65,4.97,-8.92
16.65,4.46,-9
15.83,4.31,-9.07
17.12,4.18,-9.17
16.77,4.01,-9.2
17.43,3.98,-9.22
17.35,4,-9.29
17.25,3.91,-9.3
17.55,3.85,-9.3
17.39,3.9,-9.3
18.34,3.94,-9.3
21.48,3.82,-9.39
22.45,3.58,-9.4
23.95,3.33,-9.43
24.78,3.2,-9.5
23.91,3.13,-9.5
21.3,3.19,-9.46
21.62,3.33,-9.4
22.93,3.5,-9.4
22.3,3.49,-9.4
22.03,3.43,-9.4
22.54,3.37,-9.4
21.99,3.39,-9.4
22.46,3.47,-9.4
24.61,3.46,-9.4
25.03,3.36,-9.4
24.95,3.28,-9.43
25.87,3.18,-9.47
26.01,3.13,-9.46
26.25,3.07,-9.52
26.03,2.96,-9.56
25.51,3.09,-9.52
23.81,3.23,-9.47
23.67,3.27,-9.4
23.9,3.21,-9.38
25.27,3.19,-9.42
25.45,3.16,-9.42
25.53,3.08,-9.4
25.09,3.04,-9.4
25.9,3.06,-9.38
25.76,3.24,-9.3
25.56,3.6,-9.3
24.64,4,-9.3
24.43,4.3,-9.3
25.11,3.99,-9.3
25.28,3.55,-9.3
25.72,3.6,-9.33
25.35,4.03,-9.31
25.03,4.49,-9.3
24.82,4.84,-9.3
24.75,5.03,-9.34
24.63,5.28,-9.4
24.37,5.48,-9.4
23.96,5.5,-9.4
22.97,5.57,-9.4
20.5,5.74,-9.4
23.36,5.7,-9.46
23.34,5.45,-9.5
23.19,5.16,-9.5
22.63,5.07,-9.5
22.33,4.92,-9.5
21.62,4.85,-9.5
21.03,4.93,-9.5
20.27,5.06,-9.5
20.4,5.18,-9.51
20.37,5.26,-9.6
19.87,5.34,-9.63
19.19,5.63,-9.6
18.67,6.06,-9.6
18.38,6.42,-9.6
18.47,6.56,-9.6
18.45,6.48,-9.6
18.57,6.23,-9.7
18.5,6,-9.68
16.91,5.96,-9.6
14,5.98,-9.6
15.71,5.7,-9.66
17.33,5.11,-9.7
17.98,4.55,-9.79
15.9,4.32,-9.69
15.85,4.7,-9.7
14.15,4.94,-9.71
13.25,4.68,-9.75
12.27,4.36,-9.8
8.97,4.4,-9.8
7.9,4.48,-9.8
8.05,4.49,-9.8
7.76,4.43,-9.82
10.73,4.43,-9.85
10.35,4.48,-9.9
7.49,4.53,-9.87
11.66,4.51,-9.97
6.45,4.89,-9.93
9.68,5.13,-9.96
8.48,4.89,-10
2.92,4.53,-9.94
2.84,4.6,-9.98
4.7,4.5,-10.11
3.99,4.35,-10.2
3.9,4.27,-10.17
