Day,Site,Value
0,AMS1,0
1,AMS1,0
2,AMS1,15.58441558
3,AMS1,23.37662338
4,AMS1,33.76623377
5,AMS1,2.597402597
6,AMS1,41.55844156
7,AMS1,1241.558442
8,AMS1,28.57142857
9,AMS1,0
10,AMS1,0
11,AMS1,0
12,AMS1,0
13,AMS1,0
14,AMS1,83.11688312
15,AMS1,181.8181818
16,AMS1,101.2987013
17,AMS1,20.77922078
18,AMS1,0
19,AMS1,0
20,AMS1,0
21,AMS1,0
22,AMS1,0
23,AMS1,38.96103896
24,AMS1,93.50649351
25,AMS1,0
26,AMS1,10.38961039
27,AMS1,18.18181818
28,AMS1,0
29,AMS1,0
30,AMS1,0
31,AMS1,0
0,AMS6,0
1,AMS6,0
2,AMS6,51.94805195
3,AMS6,184.4155844
4,AMS6,1236.363636
5,AMS6,62.33766234
6,AMS6,506.4935065
7,AMS6,1168.831169
8,AMS6,192.2077922
9,AMS6,98.7012987
10,AMS6,7.792207792
11,AMS6,33.76623377
12,AMS6,12.98701299
13,AMS6,90.90909091
14,AMS6,163.6363636
15,AMS6,402.5974026
16,AMS6,171.4285714
17,AMS6,238.961039
18,AMS6,340.2597403
19,AMS6,72.72727273
20,AMS6,57.14285714
21,AMS6,33.76623377
22,AMS6,0
23,AMS6,33.76623377
24,AMS6,28.57142857
25,AMS6,62.33766234
26,AMS6,20.77922078
27,AMS6,12.98701299
28,AMS6,10.38961039
29,AMS6,7.792207792
30,AMS6,7.792207792
31,AMS6,18.18181818
0,AMS7,0
1,AMS7,0
2,AMS7,70.12987013
3,AMS7,109.0909091
4,AMS7,311.6883117
5,AMS7,116.8831169
6,AMS7,381.8181818
7,AMS7,1070.12987
8,AMS7,168.8311688
9,AMS7,20.77922078
10,AMS7,57.14285714
11,AMS7,25.97402597
12,AMS7,18.18181818
13,AMS7,363.6363636
14,AMS7,568.8311688
15,AMS7,727.2727273
16,AMS7,389.6103896
17,AMS7,257.1428571
18,AMS7,210.3896104
19,AMS7,18.18181818
20,AMS7,80.51948052
21,AMS7,33.76623377
22,AMS7,0
23,AMS7,51.94805195
24,AMS7,67.53246753
25,AMS7,80.51948052
26,AMS7,12.98701299
27,AMS7,15.58441558
28,AMS7,10.38961039
29,AMS7,7.792207792
30,AMS7,7.792207792
31,AMS7,0
