"day","site","pollution","plant","bees"
12,"NCBS-TIFR","low","T. stans",218
13,"Lalbagh","moderate","T. stans",181
14,"CTS","rural","T. stans",341
10,"Peenya","high","T. stans",108
4,"Lalbagh","moderate","T. stans",163
12,"Lalbagh","moderate","T. stans",181
5,"Lalbagh","moderate","T. stans",168
17,"Peenya","high","T. stans",136
6,"NCBS-TIFR","low","T. stans",181
19,"Lalbagh","moderate","T. stans",213
9,"CTS","rural","T. stans",336
7,"NCBS-TIFR","low","T. stans",190
7,"CTS","rural","T. stans",312
15,"Peenya","high","T. stans",131
9,"Peenya","high","T. stans",108
19,"CTS","rural","T. stans",377
17,"NCBS-TIFR","low","T. stans",236
12,"Peenya","high","T. stans",123
17,"CTS","rural","T. stans",364
13,"Peenya","high","T. stans",126
1,"Lalbagh","moderate","T. stans",149
15,"Lalbagh","moderate","T. stans",186
12,"CTS","rural","T. stans",341
15,"CTS","rural","T. stans",346
13,"NCBS-TIFR","low","T. stans",218
6,"Peenya","high","T. stans",95
7,"Lalbagh","moderate","T. stans",168
7,"Peenya","high","T. stans",99
5,"Peenya","high","T. stans",82
3,"Lalbagh","moderate","T. stans",159
10,"CTS","rural","T. stans",341
4,"NCBS-TIFR","low","T. stans",177
8,"NCBS-TIFR","low","T. stans",190
11,"Lalbagh","moderate","T. stans",181
6,"Lalbagh","moderate","T. stans",168
14,"Lalbagh","moderate","T. stans",186
19,"NCBS-TIFR","low","T. stans",263
11,"Peenya","high","T. stans",118
15,"NCBS-TIFR","low","T. stans",222
10,"NCBS-TIFR","low","T. stans",204
5,"CTS","rural","T. stans",264
8,"CTS","rural","T. stans",336
16,"Lalbagh","moderate","T. stans",186
13,"CTS","rural","T. stans",341
18,"CTS","rural","T. stans",373
1,"CTS","rural","T. stans",159
18,"Lalbagh","moderate","T. stans",209
18,"Peenya","high","T. stans",140
11,"NCBS-TIFR","low","T. stans",204
6,"CTS","rural","T. stans",304
2,"NCBS-TIFR","low","T. stans",172
17,"Lalbagh","moderate","T. stans",195
10,"Lalbagh","moderate","T. stans",181
9,"NCBS-TIFR","low","T. stans",200
16,"CTS","rural","T. stans",354
1,"NCBS-TIFR","low","T. stans",154
18,"NCBS-TIFR","low","T. stans",246
11,"CTS","rural","T. stans",341
16,"NCBS-TIFR","low","T. stans",227
16,"Peenya","high","T. stans",131
14,"Peenya","high","T. stans",131
19,"Peenya","high","T. stans",145
8,"Peenya","high","T. stans",104
2,"CTS","rural","T. stans",168
3,"NCBS-TIFR","low","T. stans",177
14,"NCBS-TIFR","low","T. stans",222
4,"CTS","rural","T. stans",255
3,"Peenya","high","T. stans",63
2,"Peenya","high","T. stans",59
1,"Peenya","high","T. stans",54
3,"CTS","rural","T. stans",237
2,"Lalbagh","moderate","T. stans",150
8,"Lalbagh","moderate","T. stans",168
4,"Peenya","high","T. stans",77
5,"NCBS-TIFR","low","T. stans",177
9,"Lalbagh","moderate","T. stans",177
