"","control","LPS","BaP","combination"
"100038358_at",0,-0.0988679045039177,-0.152205103614483,-0.0434987431751615
"100038453_at",0,-0.0333831651374491,-0.0101334012856487,0.41774862113576
"100038479_at",0,-0.00482402336330744,-0.0337238301820376,-0.0304537206478591
"100038566_at",0,0.169952394909373,-0.0855980650759194,0.0122232084096557
"100038709_at",0,-0.147752200448714,-0.365301166473293,-0.150206476333233
"100039691_at",0,-0.0150240676218615,-0.255313942036139,-0.0987229351129774
"100040201_at",0,-0.0425218338604623,-0.0838062320067749,-0.145907705039901
"100040268_at",0,0.0798050952037552,-0.275220166584611,-0.1424176719626
"100040608_at",0,-0.125106699836362,-0.121556085029884,-0.13250573917323
"100042069_at",0,-0.160215446885738,0.0716755362478569,-0.196875567610829
"100042918_at",0,0.474689983758362,-0.0305478082449783,0.0874644880459065
"100043757_at",0,-0.107625676110312,-0.305759708108582,0.012467336176978
"100043771_at",0,0.329360318087952,0.924093125150647,0.0221539295468527
"100043911_at",0,0.252258715097251,0.0677372848686391,0.345839982593032
"100044509_at",0,0.093186971219166,0.172462594454907,0.305130911059418
"100049549_at",0,0.133707820558258,0.0107852614014886,0.341850249479921
"100124660_at",0,0.80823072635848,-0.260877135984579,-0.184242656008786
"100125339_at",0,0.195670627001125,0.039566064718172,0.367801333054247
"100126434_at",0,0.40998150102713,-0.0778878441590878,0.0894841550882162
"100213_at",0,-0.550043801474255,0.192770461416136,-0.296975853485745
"100217446_at",0,0.334765033189988,-0.40317495064688,-0.00169333520636233
"100273_at",0,0.0152616949428276,-0.0160190957844723,0.0236172393740532
"100434_at",0,-0.0291510573425149,0.185802309334086,-0.1059430774469
"100503311_at",0,0.233049556120947,0.0270660087451929,0.115991340309778
"100504164_at",0,-0.104541966855064,0.21424071467303,-0.0496683901001568
"100855_at",0,0.238449493935456,0.0982956080498543,0.432369663102754
"100900_at",0,0.252982735207434,0.0147237520335795,0.316395998835001
"100986_at",0,-0.17407334077135,-0.234330886018097,-0.145090111755242
"101202_at",0,-0.0672634897298432,-0.493592894759058,-0.435180868642259
"101592_at",0,0.214490786247458,0.120619341569595,0.205802001299301
"101861_at",0,-0.200498411732275,0.0471806728790061,-0.0943149335402985
"102032_at",0,-0.324542161590888,-0.110092403865318,-0.265667169117797
"102216272_at",0,0.101554081876256,-0.162100921511213,-0.0811675455475201
"102462_at",0,-0.046331478311341,0.120268677615545,-0.140343392743111
"102566_at",0,-0.279000034023795,0.0993106026000144,-0.0427983163813665
"102631977_at",0,-0.315389967156948,-0.556478357808017,-0.770302396764268
"102632213_at",0,-0.059745894119624,0.220424826320017,0.236012968060224
"102632285_at",0,-0.0209914423901591,-0.039732469683248,0.107610286115435
"102632690_at",0,-0.0818883817188327,-0.0491029387647882,-0.0109931215577926
"102634736_at",0,-0.163469352420749,0.200918550905325,-0.623744015554534
"102636451_at",0,-0.179505722730159,-0.166438404682002,-0.0275006763410263
"102638882_at",0,0.0782265220904989,-0.432415833250645,-0.172923418722823
"102639495_at",0,1.14362762434106,0.247037609631851,0.343420161832321
"102640040_at",0,0.560266671468244,-0.0715167544657085,0.340519480536206
"102640399_at",0,0.397055101385166,-0.0355956350265416,-0.45322778441314
"102640495_at",0,0.198624003906039,0.0340775992315982,0.0471883858606204
"102640920_at",0,0.227221309480964,-0.0939704834418378,0.609283944363632
"102871_at",0,0.267780837227601,0.134302721516527,0.800840786951632
"103012_at",0,0.118896303250824,-0.380434589264615,-0.0739001678211285
"103655_at",0,-0.347334600332981,0.400253729416705,-0.223720298335659
"103742_at",0,-0.0905679019050535,0.0334431209222241,-0.122111820019062
"103836_at",0,0.0459917976851036,-0.188278960989206,-0.0412999539198582
